"Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN","ESTADO_ENCUESTA","RECO_DIC","grupo"
"08001",1,1,1,3,4029,1,1,1,NA,0,"08"
"08758",1,1,2,7,4048,1,1,1,NA,0,"08"
"08001",2,1,1,2,4068,1,1,1,NA,0,"08"
"08001",1,1,1,4,4623,1,1,1,NA,0,"08"
"08001",1,1,1,7,4643,1,1,1,NA,0,"08"
"08001",2,1,1,11,4675,1,1,1,NA,0,"08"
"08001",2,1,1,8,4696,1,1,1,NA,0,"08"
"08001",2,1,1,3,4843,1,1,1,NA,0,"08"
"08001",2,1,1,3,4848,1,1,1,NA,0,"08"
"08001",2,1,1,6,4854,1,1,1,NA,0,"08"
"08001",1,1,2,7,4895,1,1,1,NA,0,"08"
"08001",1,1,1,7,4896,1,1,1,NA,0,"08"
"08001",2,1,3,4,4902,1,1,1,NA,0,"08"
"08001",2,1,3,3,4927,1,1,1,NA,0,"08"
"08001",2,1,1,4,4932,1,1,1,NA,0,"08"
"08001",1,1,2,5,4951,1,1,1,NA,0,"08"
"08001",2,1,1,2,4966,1,1,1,NA,0,"08"
"08001",1,1,1,4,4969,1,1,1,NA,0,"08"
"08001",2,1,1,3,4998,1,1,1,NA,0,"08"
"08001",2,1,1,3,5005,1,1,1,NA,0,"08"
"08001",1,1,1,3,5028,1,1,1,NA,0,"08"
"08001",1,1,2,2,5034,1,1,1,NA,0,"08"
"08001",1,1,3,3,5041,1,1,1,NA,0,"08"
"08001",2,1,1,3,5051,1,1,1,NA,0,"08"
"08001",1,1,2,2,5066,1,1,1,NA,0,"08"
"08001",1,1,1,3,5084,1,1,1,NA,0,"08"
"08001",2,1,1,11,5085,1,1,1,NA,0,"08"
"08001",2,1,1,2,5086,1,1,1,NA,0,"08"
"08758",1,1,2,6,5108,1,1,1,NA,0,"08"
"08001",2,1,2,3,5114,1,1,1,NA,0,"08"
"08758",1,1,2,4,5167,1,1,1,NA,0,"08"
"08758",1,1,2,6,5206,1,1,1,NA,0,"08"
"08001",1,1,1,4,5238,1,1,1,NA,0,"08"
"08758",1,1,2,4,5245,1,1,1,NA,0,"08"
"08001",2,1,1,4,5252,1,1,1,NA,0,"08"
"08001",1,1,2,3,5255,1,1,1,NA,0,"08"
"08001",1,1,1,3,5258,1,1,1,NA,0,"08"
"08758",1,1,2,5,5263,1,1,1,NA,0,"08"
"08001",1,1,1,5,5270,1,1,1,NA,0,"08"
"08001",1,1,2,4,5273,1,1,1,NA,0,"08"
"08758",1,1,2,1,5277,1,1,1,NA,0,"08"
"08758",1,1,2,1,5292,1,1,1,NA,0,"08"
"08001",1,1,2,4,5303,1,1,1,NA,0,"08"
"08001",2,1,1,5,5315,1,1,1,NA,0,"08"
"08001",2,1,1,2,5320,1,1,1,NA,0,"08"
"08001",1,1,1,7,5331,1,1,1,NA,0,"08"
"08001",1,1,1,5,5370,1,1,1,NA,0,"08"
"08001",1,1,2,5,5373,1,1,1,NA,0,"08"
"08758",1,1,2,4,5390,1,1,1,NA,0,"08"
"08001",1,1,1,5,5393,1,1,1,NA,0,"08"
"08001",1,1,2,4,5416,1,1,1,NA,0,"08"
"08001",2,1,1,5,5417,1,1,1,NA,0,"08"
"08001",1,1,1,6,5435,1,1,1,NA,0,"08"
"08758",1,1,2,3,5474,1,1,1,NA,0,"08"
"08001",1,1,1,6,5479,1,1,1,NA,0,"08"
"08001",2,1,1,4,5486,1,1,1,NA,0,"08"
"08001",3,1,2,3,5488,1,1,1,NA,0,"08"
"08001",1,1,1,6,5500,1,1,1,NA,0,"08"
"08001",1,1,2,3,5513,1,1,1,NA,0,"08"
"08001",2,1,1,8,5522,1,1,1,NA,0,"08"
"08001",1,1,1,6,5530,1,1,1,NA,0,"08"
"08001",1,1,2,2,5540,1,1,1,NA,0,"08"
"08758",1,1,2,9,5552,1,1,1,NA,0,"08"
"08001",1,1,2,8,5562,1,1,1,NA,0,"08"
"08001",1,1,1,2,5569,1,1,1,NA,0,"08"
"08001",2,1,1,3,5574,1,1,1,NA,0,"08"
"08001",3,1,2,2,5576,1,1,1,NA,0,"08"
"08001",1,1,1,7,5583,1,1,1,NA,0,"08"
"08001",1,1,1,2,5586,1,1,1,NA,0,"08"
"08001",2,1,1,4,5590,1,1,1,NA,0,"08"
"08001",2,1,1,2,5594,1,1,1,NA,0,"08"
"08001",1,1,1,5,5603,1,1,1,NA,0,"08"
"08001",2,1,1,7,5614,1,1,1,NA,0,"08"
"08001",2,1,1,6,5627,1,1,1,NA,0,"08"
"08001",2,1,1,4,5631,1,1,1,NA,0,"08"
"08001",2,1,1,2,5634,1,1,1,NA,0,"08"
"08001",2,1,1,6,5637,1,1,1,NA,0,"08"
"08001",1,1,1,3,5684,1,1,1,NA,0,"08"
"08001",2,1,1,5,5693,1,1,1,NA,0,"08"
"08001",2,1,1,6,5738,1,1,1,NA,0,"08"
"08001",2,1,1,7,5746,1,1,1,NA,0,"08"
"08001",1,1,1,6,5770,1,1,1,NA,0,"08"
"08001",2,1,1,4,5796,1,1,1,NA,0,"08"
"08001",2,1,1,8,5800,1,1,1,NA,0,"08"
"08001",2,1,3,5,5803,1,1,1,NA,0,"08"
"08001",3,1,1,4,5825,1,1,1,NA,0,"08"
"08001",2,1,3,2,5847,1,1,1,NA,0,"08"
"08001",1,1,1,7,5849,1,1,1,NA,0,"08"
"08001",1,1,1,5,5864,1,1,1,NA,0,"08"
"08001",2,1,3,1,5879,1,1,1,NA,0,"08"
"08001",2,1,3,2,5907,1,1,1,NA,0,"08"
"08001",2,1,3,1,6002,1,1,1,NA,0,"08"
"08001",2,1,3,4,6016,1,1,1,NA,0,"08"
"08001",2,1,1,2,6050,1,1,1,NA,0,"08"
"08001",2,1,3,4,6056,1,1,1,NA,0,"08"
"08001",1,1,2,2,6070,1,1,1,NA,0,"08"
"08001",1,1,1,4,6071,1,1,1,NA,0,"08"
"08001",2,1,3,4,6076,1,1,1,NA,0,"08"
"08001",1,1,2,4,6084,1,1,1,NA,0,"08"
"08001",2,1,1,6,6087,1,1,1,NA,0,"08"
"08001",2,1,1,3,6088,1,1,1,NA,0,"08"
"08001",1,1,1,4,6102,1,1,1,NA,0,"08"
"08001",2,1,2,3,6105,1,1,1,NA,0,"08"
"08001",1,1,1,5,6113,1,1,1,NA,0,"08"
"08001",1,1,2,6,6134,1,1,1,NA,0,"08"
"08001",2,1,1,3,6137,1,1,1,NA,0,"08"
"08001",1,1,1,9,6159,1,1,1,NA,0,"08"
"08001",3,1,1,4,6183,1,1,1,NA,0,"08"
"08001",2,1,1,2,6193,1,1,1,NA,0,"08"
"08001",1,1,1,8,6199,1,1,1,NA,0,"08"
"08001",2,1,1,4,6209,1,1,1,NA,0,"08"
"08001",2,1,1,5,6229,1,1,1,NA,0,"08"
"08001",2,1,1,4,6230,1,1,1,NA,0,"08"
"08001",2,1,1,3,6274,1,1,1,NA,0,"08"
"08001",1,1,1,5,6288,1,1,1,NA,0,"08"
"08001",3,1,1,5,6296,1,1,1,NA,0,"08"
"08001",1,1,1,6,6298,1,1,1,NA,0,"08"
"08001",2,1,1,5,6313,1,1,1,NA,0,"08"
"08001",1,1,1,8,6326,1,1,1,NA,0,"08"
"08001",1,1,1,7,6342,1,1,1,NA,0,"08"
"08001",1,1,2,2,6621,1,1,1,NA,0,"08"
"08001",2,1,2,4,6625,1,1,1,NA,0,"08"
"08758",1,1,2,4,6641,1,1,1,NA,0,"08"
"08001",1,1,3,7,6671,1,1,1,NA,0,"08"
"08758",1,1,3,3,6675,1,1,1,NA,0,"08"
"08758",1,1,2,5,6713,1,1,1,NA,0,"08"
"08001",1,1,3,3,6720,1,1,1,NA,0,"08"
"08001",1,1,3,4,6734,1,1,1,NA,0,"08"
"08001",2,1,1,2,6756,1,1,1,NA,0,"08"
"08758",2,1,3,4,6773,1,1,1,NA,0,"08"
"08758",2,1,2,5,6811,1,1,1,NA,0,"08"
"08001",2,1,1,4,6812,1,1,1,NA,0,"08"
"08001",2,1,3,8,6816,1,1,1,NA,0,"08"
"08758",1,1,2,4,6848,1,1,1,NA,0,"08"
"08758",1,1,2,6,6863,1,1,1,NA,0,"08"
"08001",2,1,1,1,6882,1,1,1,NA,0,"08"
"08758",1,1,2,4,6892,1,1,1,NA,0,"08"
"08758",2,1,2,3,6918,1,1,1,NA,0,"08"
"08758",2,1,2,7,6942,1,1,1,NA,0,"08"
"08001",2,1,1,1,6944,1,1,1,NA,0,"08"
"08001",1,1,3,2,6947,1,1,1,NA,0,"08"
"08758",1,1,2,5,6954,1,1,1,NA,0,"08"
"08758",2,1,2,7,6961,1,1,1,NA,0,"08"
"08001",1,1,3,2,6970,1,1,1,NA,0,"08"
"08001",1,1,1,5,6975,1,1,1,NA,0,"08"
"08758",1,1,2,3,6976,1,1,1,NA,0,"08"
"08758",2,1,2,3,6981,1,1,1,NA,0,"08"
"08001",1,1,3,5,6982,1,1,1,NA,0,"08"
"08758",2,1,2,5,6993,1,1,1,NA,0,"08"
"08758",2,1,2,4,7008,1,1,1,NA,0,"08"
"08001",2,1,2,7,7020,1,1,1,NA,0,"08"
"08758",1,1,2,5,7026,1,1,1,NA,0,"08"
"08001",2,1,1,2,7033,1,1,1,NA,0,"08"
"08758",1,1,2,6,7058,1,1,1,NA,0,"08"
"08001",2,1,1,4,7069,1,1,1,NA,0,"08"
"08001",1,1,2,5,7082,1,1,1,NA,0,"08"
"08758",2,1,2,4,7093,1,1,1,NA,0,"08"
"08758",1,1,2,5,7098,1,1,1,NA,0,"08"
"08001",2,1,2,3,7118,1,1,1,NA,0,"08"
"08758",2,1,2,3,7133,1,1,1,NA,0,"08"
"08001",2,1,1,4,7137,1,1,1,NA,0,"08"
"08758",1,1,2,5,7153,1,1,1,NA,0,"08"
"08758",2,1,2,3,7159,1,1,1,NA,0,"08"
"08758",2,1,2,2,7192,1,1,1,NA,0,"08"
"08758",1,1,2,4,7204,1,1,1,NA,0,"08"
"08758",2,1,2,7,7222,1,1,1,NA,0,"08"
"08758",1,1,2,3,7256,1,1,1,NA,0,"08"
"08758",2,1,2,3,7263,1,1,1,NA,0,"08"
"08758",2,1,2,3,7411,1,1,1,NA,0,"08"
"08001",1,1,2,2,7423,1,1,1,NA,0,"08"
"08758",1,1,2,7,7431,1,1,1,NA,0,"08"
"08001",1,1,3,3,7437,1,1,1,NA,0,"08"
"08001",2,1,2,6,7453,1,1,1,NA,0,"08"
"08758",2,1,2,3,7472,1,1,1,NA,0,"08"
"08001",1,1,2,2,7497,1,1,1,NA,0,"08"
"08758",2,1,2,4,7511,1,1,1,NA,0,"08"
"08758",2,1,2,5,7513,1,1,1,NA,0,"08"
"08001",1,1,2,4,7521,1,1,1,NA,0,"08"
"08758",1,1,2,6,7547,1,1,1,NA,0,"08"
"08758",2,1,2,4,7562,1,1,1,NA,0,"08"
"08001",1,1,2,5,7570,1,1,1,NA,0,"08"
"08758",1,1,2,4,7592,1,1,1,NA,0,"08"
"08758",2,1,2,3,7593,1,1,1,NA,0,"08"
"08001",3,1,2,1,7623,1,1,1,NA,0,"08"
"08758",1,1,2,10,7649,1,1,1,NA,0,"08"
"08001",2,1,2,6,7657,1,1,1,NA,0,"08"
"08001",1,1,2,3,7709,1,1,1,NA,0,"08"
"08001",1,1,2,3,7748,1,1,1,NA,0,"08"
"08758",1,1,2,4,7755,1,1,1,NA,0,"08"
"08758",1,1,2,4,7827,1,1,1,NA,0,"08"
"08001",1,1,2,4,7842,1,1,1,NA,0,"08"
"08758",1,1,2,4,7855,1,1,1,NA,0,"08"
"08758",2,1,2,3,7859,1,1,1,NA,0,"08"
"08758",1,1,2,7,7869,1,1,1,NA,0,"08"
"08758",1,1,2,6,7881,1,1,1,NA,0,"08"
"08758",1,1,2,7,7903,1,1,1,NA,0,"08"
"08758",2,1,2,4,7928,1,1,1,NA,0,"08"
"08001",2,1,1,5,7949,1,1,1,NA,0,"08"
"08001",2,1,3,5,7960,1,1,1,NA,0,"08"
"08758",1,1,2,4,7988,1,1,1,NA,0,"08"
"08001",2,1,3,4,7995,1,1,1,NA,0,"08"
"08001",2,1,3,3,7996,1,1,1,NA,0,"08"
"08758",2,1,2,3,8028,1,1,1,NA,0,"08"
"08001",2,1,3,3,8038,1,1,1,NA,0,"08"
"08001",1,1,3,4,8043,1,1,1,NA,0,"08"
"08001",2,1,1,5,8045,1,1,1,NA,0,"08"
"08001",1,1,3,2,8069,1,1,1,NA,0,"08"
"08001",1,1,3,7,8102,1,1,1,NA,0,"08"
"08001",2,1,3,3,8108,1,1,1,NA,0,"08"
"08001",2,1,1,3,8132,1,1,1,NA,0,"08"
"08001",1,1,3,6,8143,1,1,1,NA,0,"08"
"08001",2,1,3,3,8151,1,1,1,NA,0,"08"
"08001",2,1,3,1,8170,1,1,1,NA,0,"08"
"08001",2,1,3,3,8177,1,1,1,NA,0,"08"
"08001",1,1,1,2,8192,1,1,1,NA,0,"08"
