"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","K_01_A","K_01_B","K_01_C","K_01_D","K_02","K_03","K_04","K_05","K_06","K_07","K_08","K_09","K_09_VALOR","K_09_TEXTO","K_10_C","K_10_D","K_10_E","K_10_F","K_10_H","K_11","K_11_A","K_11_B","K_12_A","K_12_B","K_12_C","K_12_D","K_12_E","K_12_F","K_12_G","K_12_H","K_12_I","K_12_J","K_12_K","K_12_L","K_12_M","K_12_N","K_12_O","D_01","D_02","D_08","D_12_B","D_12_C","D2_05","D2_06","D2_07","D2_01","SEXO","EDAD","PARENTESCO"
10342,68276,2,1,3,4,NA,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,2,4,1,1,9,1,35,3
10496,68276,1,1,2,1,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,1,5,1,1,5,1,23,1
10627,68001,2,1,2,4,NA,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,4,1,1,5,1,1,9,1,30,1
12087,68276,2,1,3,4,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,1,5,1,1,9,1,27,7
13133,68276,1,1,3,2,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,4,2,2,4,NA,NA,9,1,15,5
13169,68001,1,1,3,4,1,1,1,NA,3,1,4,2,NA,NA,1,1,2000,"DOS MIL PESOS",NA,1,NA,NA,NA,2,NA,NA,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,4,1,1,7,1,1,9,1,30,3
13223,68679,1,1,3,3,1,NA,NA,NA,3,1,2,1,10,20000,10,1,2500,"DOL MIL QUINIENTOS PESOS MCTE",NA,1,NA,NA,NA,2,NA,NA,2,1,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,4,2,2,5,1,1,9,1,18,3
13270,68679,1,1,2,4,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,2,6,3,2,9,2,37,3
13406,68679,1,1,2,3,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,1,3,1,1,9,1,55,1
13559,68001,1,1,3,4,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,1,2,7,1,2,9,2,30,1
14176,68001,1,1,5,4,NA,1,NA,NA,3,1,2,2,NA,NA,2,1,2000,"DOS MIL PESOS",NA,NA,1,NA,NA,2,NA,NA,1,1,1,1,2,2,2,2,2,2,1,2,1,2,2,1,1,4,1,2,5,1,1,9,1,22,3
16822,68001,1,1,3,3,NA,NA,1,1,3,1,4,1,25,30000,50,1,2000,"DOS MIL PESOS",1,NA,NA,NA,NA,1,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,5,1,1,6,1,1,9,1,25,3
17653,68001,2,1,1,5,NA,1,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,1,2,4,1,2,9,2,23,3
17798,68001,1,1,2,4,NA,1,NA,NA,3,1,5,1,30,10000,30,1,2000,"DOS MIL PESOS",NA,1,NA,NA,NA,2,NA,NA,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,7,4,1,1,6,1,1,9,1,22,8
17906,68001,1,1,3,4,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,2,5,1,1,9,1,47,8
17933,68276,1,1,1,5,NA,1,NA,NA,3,1,5,1,30,40000,90,1,2000,"DOS MIL PESOS",NA,NA,NA,1,NA,1,1,NA,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,5,1,2,4,1,1,9,1,25,3
18613,68307,1,1,1,3,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,1,2,3,1,1,1,1,45,1
18735,68001,1,1,1,4,1,1,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,2,5,1,1,5,1,22,5
19754,68001,2,1,3,3,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,2,5,1,1,9,1,26,1
19992,68001,2,1,4,5,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,2,7,1,1,9,1,25,3
20032,68001,2,1,4,2,1,1,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,2,5,1,2,9,2,24,1
20094,68001,1,1,2,3,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,1,3,1,1,9,1,37,1
20112,68276,2,1,1,4,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,1,4,1,1,9,1,29,1
21287,68276,2,1,4,3,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,5,1,2,5,1,1,5,1,19,5
21693,68001,2,1,4,1,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,2,6,1,1,9,1,54,1
22065,68001,2,1,3,1,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,5,1,1,7,1,1,9,1,48,1
