"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","ESTADO_ENCUESTA","RECO_DIC","K_01_A","K_01_B","K_01_C","K_01_D","K_02","K_03","K_04","K_05","K_06","K_07","K_08","K_09","K_09_VALOR","K_09_TEXTO","K_10_A","K_10_B","K_10_C","K_10_D","K_10_E","K_10_F","K_10_G","K_10_H","K_10_I","K_11","K_11_A","K_11_B","K_11_C","K_11_D","K_11_E","K_12_A","K_12_B","K_12_C","K_12_D","K_12_E","K_12_F","K_12_G","K_12_H","K_12_I","K_12_J","K_12_K","K_12_L","K_12_M","K_12_N","K_12_O","SECUENCIA_ENCUESTA.y","SECUENCIA_P.y","ORDEN.y"
47068,"66001",1,1,1,5,1,1,1,NA,0,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
47073,"66001",1,1,1,5,1,1,1,NA,0,1,NA,NA,NA,3,1,3,1,3,1000,5,1,2000,"DOS MIL",NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,2,1,1,2,1,2,2,2,1,1,1,2,2,1,3,1,3
47082,"66001",2,1,5,1,1,1,1,NA,0,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
47339,"66682",2,1,2,4,1,1,1,NA,0,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
47716,"66400",1,1,4,5,1,1,1,NA,0,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4
47973,"66001",3,1,3,1,1,1,1,NA,0,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
47988,"66001",3,1,3,1,1,1,1,NA,0,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
48049,"66001",2,1,3,4,1,1,1,NA,0,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
48077,"66001",2,1,3,4,1,1,1,NA,0,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3
48219,"66001",2,1,5,2,1,1,1,NA,0,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
48228,"66001",2,1,1,3,1,1,1,NA,0,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3
48232,"66001",2,1,2,2,1,1,1,NA,0,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1
48244,"66001",2,1,4,2,1,1,1,NA,0,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2
48296,"66170",1,1,3,2,1,1,1,NA,0,1,1,NA,NA,3,1,5,1,30,80000,3,1,2000,"DOS MIL PESOS",NA,1,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2
