"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","grupo","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
5405,3,2,5001,3,5,2,7,4,9,6,1,1,1,33,3
5405,3,2,5001,3,5,2,7,4,9,6,1,1,2,72,2
5405,3,2,5001,3,5,2,7,4,9,6,1,1,2,40,3
5411,3,2,5001,3,5,2,2,4,1,6,1,1,1,29,3
5411,3,2,5001,3,5,2,2,4,1,6,1,1,1,51,1
5411,3,2,5001,3,5,2,2,4,1,6,1,1,2,50,2
5411,3,2,5001,3,5,2,2,4,1,6,1,1,1,25,3
5442,3,1,5001,5,5,2,8,3,9,6,2,1,1,30,1
5545,3,2,5001,3,5,2,4,3,9,4,1,2,2,62,1
5545,3,2,5001,3,5,2,4,3,9,4,1,2,2,60,7
5545,3,2,5001,3,5,2,4,3,9,4,1,2,2,39,3
5710,2,1,5001,2,5,1,2,4,9,4,1,1,2,29,2
5710,2,1,5001,2,5,1,2,4,9,4,1,1,1,31,1
5736,3,2,5001,3,5,1,1,3,5,7,1,1,1,57,3
5736,3,2,5001,3,5,1,1,3,5,7,1,1,2,70,3
5736,3,2,5001,3,5,1,1,3,5,7,1,1,2,88,1
5804,3,2,5001,3,5,2,2,3,9,7,1,2,2,53,1
5804,3,2,5001,3,5,2,2,3,9,7,1,2,2,51,7
5804,3,2,5001,3,5,2,2,3,9,7,1,2,2,23,8
5828,2,1,5001,2,5,1,1,5,9,7,1,1,1,72,1
5828,2,1,5001,2,5,1,1,5,9,7,1,1,1,34,3
5828,2,1,5001,2,5,1,1,5,9,7,1,1,2,65,2
5967,3,2,5837,1,5,1,1,5,5,3,1,1,1,0,3
5967,3,2,5837,1,5,1,1,5,5,3,1,1,1,47,1
5967,3,2,5837,1,5,1,1,5,5,3,1,1,2,35,2
5967,3,2,5837,1,5,1,1,5,5,3,1,1,2,8,3
6018,3,2,5837,2,5,1,6,2,9,1,1,2,2,48,1
6045,3,1,5837,1,5,1,1,3,5,3,1,1,1,32,3
6045,3,1,5837,1,5,1,1,3,5,3,1,1,1,70,1
6045,3,1,5837,1,5,1,1,3,5,3,1,1,1,35,3
6045,3,1,5837,1,5,1,1,3,5,3,1,1,1,18,3
6057,3,2,5837,1,5,2,4,4,9,5,1,2,1,2,3
6057,3,2,5837,1,5,2,4,4,9,5,1,2,1,39,1
6057,3,2,5837,1,5,2,4,4,9,5,1,2,1,9,3
6057,3,2,5837,1,5,2,4,4,9,5,1,2,2,38,2
6057,3,2,5837,1,5,2,4,4,9,5,1,2,1,1,3
6139,3,2,5001,3,5,1,1,4,9,7,1,1,2,8,3
6139,3,2,5001,3,5,1,1,4,9,7,1,1,1,0,3
6139,3,2,5001,3,5,1,1,4,9,7,1,1,1,30,1
6139,3,2,5001,3,5,1,1,4,9,7,1,1,2,37,2
6192,3,1,5837,2,5,1,1,3,5,3,1,1,1,20,8
6192,3,1,5837,2,5,1,1,3,5,3,1,1,1,1,5
6192,3,1,5837,2,5,1,1,3,5,3,1,1,2,58,1
6192,3,1,5837,2,5,1,1,3,5,3,1,1,2,37,3
6192,3,1,5837,2,5,1,1,3,5,3,1,1,2,8,5
6224,3,1,5001,2,5,1,1,5,9,4,1,1,1,14,3
6224,3,1,5001,2,5,1,1,5,9,4,1,1,2,31,2
6224,3,1,5001,2,5,1,1,5,9,4,1,1,1,49,1
6224,3,1,5001,2,5,1,1,5,9,4,1,1,1,24,10
6225,3,1,5001,4,5,2,3,4,9,6,1,1,1,24,8
6225,3,1,5001,4,5,2,3,4,9,6,1,1,1,26,8
6225,3,1,5001,4,5,2,3,4,9,6,1,1,2,25,8
6225,3,1,5001,4,5,2,3,4,9,6,1,1,1,20,8
6225,3,1,5001,4,5,2,3,4,9,6,1,1,1,24,1
6225,3,1,5001,4,5,2,3,4,9,6,1,1,1,25,8
6273,3,1,5001,4,5,1,1,4,5,7,1,1,1,29,8
6273,3,1,5001,4,5,1,1,4,5,7,1,1,1,39,1
6281,3,2,5837,1,5,1,4,5,5,5,1,1,2,43,1
6281,3,2,5837,1,5,1,4,5,5,5,1,1,1,19,3
6281,3,2,5837,1,5,1,4,5,5,5,1,1,2,13,3
6809,3,1,5001,NA,5,1,1,4,9,3,1,1,1,42,3
