"DIRECTORIO","L_01","L_02","Depmuni","ESTRATO","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
52153,3,2,76147,3,1,1,4,9,5,1,1,1,2,3
52153,3,2,76147,3,1,1,4,9,5,1,1,1,27,2
52153,3,2,76147,3,1,1,4,9,5,1,1,1,25,7
52156,3,2,76147,3,1,1,5,9,7,1,1,1,44,3
52156,3,2,76147,3,1,1,5,9,7,1,1,2,69,2
52156,3,2,76147,3,1,1,5,9,7,1,1,2,79,1
52156,3,2,76147,3,1,1,5,9,7,1,1,1,7,8
52213,3,2,76001,2,1,7,3,1,3,1,2,1,16,3
52213,3,2,76001,2,1,7,3,1,3,1,2,2,42,1
52429,3,1,76001,1,2,2,4,9,5,1,1,2,64,1
52429,3,1,76001,1,2,2,4,9,5,1,1,1,29,3
52654,9,2,76736,2,1,1,3,5,5,1,1,2,42,2
52654,9,2,76736,2,1,1,3,5,5,1,1,1,51,1
52654,9,2,76736,2,1,1,3,5,5,1,1,1,19,3
52701,3,2,76001,4,1,3,4,9,6,1,1,1,24,3
52701,3,2,76001,4,1,3,4,9,6,1,1,2,70,1
52825,3,2,76001,4,1,1,5,5,7,1,1,1,37,1
52825,3,2,76001,4,1,1,5,5,7,1,1,2,41,2
52825,3,2,76001,4,1,1,5,5,7,1,1,2,5,3
52917,3,2,76001,3,1,1,5,5,5,1,1,1,24,1
52917,3,2,76001,3,1,1,5,5,5,1,1,2,1,3
52917,3,2,76001,3,1,1,5,5,5,1,1,2,23,2
52935,3,2,76001,5,1,1,4,9,7,1,1,1,43,1
52935,3,2,76001,5,1,1,4,9,7,1,1,2,38,2
52959,3,2,76834,4,1,1,3,9,3,1,2,2,23,1
52959,3,2,76834,4,1,1,3,9,3,1,2,1,12,3
52959,3,2,76834,4,1,1,3,9,3,1,2,2,2,3
52959,3,2,76834,4,1,1,3,9,3,1,2,2,13,8
52959,3,2,76834,4,1,1,3,9,3,1,2,2,4,3
53114,3,1,76147,1,1,4,4,9,5,2,2,2,28,2
53114,3,1,76147,1,1,4,4,9,5,2,2,2,23,1
53114,3,1,76147,1,1,4,4,9,5,2,2,1,11,3
53114,3,1,76147,1,1,4,4,9,5,2,2,1,8,3
53114,3,1,76147,1,1,4,4,9,5,2,2,2,5,3
53126,3,1,76147,1,1,1,4,9,4,1,1,2,7,5
53126,3,1,76147,1,1,1,4,9,4,1,1,1,33,3
53126,3,1,76147,1,1,1,4,9,4,1,1,2,9,3
53126,3,1,76147,1,1,1,4,9,4,1,1,2,23,3
53126,3,1,76147,1,1,1,4,9,4,1,1,1,12,5
53126,3,1,76147,1,1,1,4,9,4,1,1,2,15,5
53126,3,1,76147,1,1,1,4,9,4,1,1,1,25,3
53126,3,1,76147,1,1,1,4,9,4,1,1,1,7,5
53126,3,1,76147,1,1,1,4,9,4,1,1,2,47,1
53126,3,1,76147,1,1,1,4,9,4,1,1,1,3,5
53126,3,1,76147,1,1,1,4,9,4,1,1,1,10,5
53126,3,1,76147,1,1,1,4,9,4,1,1,1,0,5
53151,3,2,76147,2,1,1,4,5,3,1,1,2,8,3
53151,3,2,76147,2,1,1,4,5,3,1,1,2,38,1
53151,3,2,76147,2,1,1,4,5,3,1,1,1,42,2
53151,3,2,76147,2,1,1,4,5,3,1,1,1,4,3
53168,3,2,76147,1,1,2,4,5,5,1,2,2,27,1
53168,3,2,76147,1,1,2,4,5,5,1,2,1,10,3
53229,3,1,76892,1,1,1,4,5,4,1,1,1,23,1
53283,3,2,76001,3,1,1,5,9,5,1,1,1,25,1
53463,3,2,76001,3,1,1,5,1,5,1,1,2,48,2
53463,3,2,76001,3,1,1,5,1,5,1,1,1,25,3
53463,3,2,76001,3,1,1,5,1,5,1,1,2,19,3
53463,3,2,76001,3,1,1,5,1,5,1,1,1,52,1
