"DIRECTORIO","K_02","K_03","Depmuni","ESTRATO","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
39418,3,2,76001,1,2,2,4,9,6,1,1,2,40,2
39734,3,2,76001,1,1,1,4,1,5,1,1,2,21,2
39734,3,2,76001,1,1,1,4,1,5,1,1,1,29,1
39734,3,2,76001,1,1,1,4,1,5,1,1,1,2,3
39904,3,2,76001,3,1,4,5,9,3,1,2,1,32,3
39904,3,2,76001,3,1,4,5,9,3,1,2,2,21,4
39904,3,2,76001,3,1,4,5,9,3,1,2,1,56,1
39909,3,2,76001,3,1,1,4,9,6,1,2,2,3,5
39909,3,2,76001,3,1,1,4,9,6,1,2,1,63,2
39909,3,2,76001,3,1,1,4,9,6,1,2,2,24,3
39909,3,2,76001,3,1,1,4,9,6,1,2,1,38,4
39909,3,2,76001,3,1,1,4,9,6,1,2,1,13,3
39909,3,2,76001,3,1,1,4,9,6,1,2,2,52,1
39918,3,2,76001,3,1,1,4,9,5,1,2,2,3,8
39918,3,2,76001,3,1,1,4,9,5,1,2,2,19,10
39918,3,2,76001,3,1,1,4,9,5,1,2,2,70,1
39918,3,2,76001,3,1,1,4,9,5,1,2,1,23,5
39918,3,2,76001,3,1,1,4,9,5,1,2,1,78,2
40938,3,2,76001,1,1,1,5,9,5,1,1,1,47,1
41048,2,1,76001,1,2,2,5,9,5,1,1,1,22,3
41048,2,1,76001,1,2,2,5,9,5,1,1,1,54,1
41048,2,1,76001,1,2,2,5,9,5,1,1,1,24,3
41048,2,1,76001,1,2,2,5,9,5,1,1,2,25,3
41077,3,2,76001,1,1,1,4,5,5,1,2,2,15,3
41077,3,2,76001,1,1,1,4,5,5,1,2,1,24,3
41077,3,2,76001,1,1,1,4,5,5,1,2,2,45,2
41077,3,2,76001,1,1,1,4,5,5,1,2,1,49,1
41795,3,2,76001,3,2,3,4,2,4,NA,NA,2,17,5
41795,3,2,76001,3,2,3,4,2,4,NA,NA,2,70,1
41795,3,2,76001,3,2,3,4,2,4,NA,NA,1,14,5
41795,3,2,76001,3,2,3,4,2,4,NA,NA,2,10,5
42068,3,2,76834,2,1,1,4,9,5,1,2,2,28,1
42068,3,2,76834,2,1,1,4,9,5,1,2,1,10,3
42068,3,2,76834,2,1,1,4,9,5,1,2,1,10,3
42359,1,2,76111,1,1,4,4,9,6,1,2,2,35,2
42359,1,2,76111,1,1,4,4,9,6,1,2,1,35,1
42359,1,2,76111,1,1,4,4,9,6,1,2,1,14,3
42412,3,2,76001,1,2,2,4,1,3,1,2,1,64,8
42412,3,2,76001,1,2,2,4,1,3,1,2,1,32,3
42412,3,2,76001,1,2,2,4,1,3,1,2,1,62,8
42412,3,2,76001,1,2,2,4,1,3,1,2,2,58,1
42412,3,2,76001,1,2,2,4,1,3,1,2,2,23,3
42585,3,2,76001,1,1,1,4,9,5,1,1,2,5,3
42585,3,2,76001,1,1,1,4,9,5,1,1,1,30,1
42585,3,2,76001,1,1,1,4,9,5,1,1,2,35,2
42700,3,2,76001,1,1,1,5,9,3,1,1,2,47,2
42700,3,2,76001,1,1,1,5,9,3,1,1,2,27,3
42700,3,2,76001,1,1,1,5,9,3,1,1,1,50,1
42706,3,2,76001,1,1,1,3,9,6,1,1,2,31,2
42706,3,2,76001,1,1,1,3,9,6,1,1,1,33,1
42706,3,2,76001,1,1,1,3,9,6,1,1,2,2,3
42944,1,1,76001,1,2,3,3,1,5,1,2,2,8,3
42944,1,1,76001,1,2,3,3,1,5,1,2,2,36,2
42944,1,1,76001,1,2,3,3,1,5,1,2,2,19,3
42944,1,1,76001,1,2,3,3,1,5,1,2,2,7,3
42944,1,1,76001,1,2,3,3,1,5,1,2,1,36,1
43043,2,1,76001,2,2,8,4,9,5,1,1,2,46,2
43043,2,1,76001,2,2,8,4,9,5,1,1,2,14,3
43043,2,1,76001,2,2,8,4,9,5,1,1,1,45,1
43043,2,1,76001,2,2,8,4,9,5,1,1,1,18,3
43140,3,1,76001,2,1,8,3,1,3,1,1,1,56,8
43140,3,1,76001,2,1,8,3,1,3,1,1,2,66,1
43140,3,1,76001,2,1,8,3,1,3,1,1,1,32,3
43205,3,2,76001,4,1,1,4,5,6,1,1,2,66,1
43205,3,2,76001,4,1,1,4,5,6,1,1,2,69,7
43205,3,2,76001,4,1,1,4,5,6,1,1,1,38,8
43544,3,1,76001,4,1,1,3,5,7,1,1,1,36,1
43544,3,1,76001,4,1,1,3,5,7,1,1,2,33,2
43544,3,1,76001,4,1,1,3,5,7,1,1,1,4,3
43818,9,2,76834,2,1,1,4,9,3,1,1,1,41,3
43818,9,2,76834,2,1,1,4,9,3,1,1,2,59,2
43818,9,2,76834,2,1,1,4,9,3,1,1,1,65,1
43912,3,2,76834,2,2,4,4,9,4,1,2,2,40,2
43912,3,2,76834,2,2,4,4,9,4,1,2,1,42,1
43912,3,2,76834,2,2,4,4,9,4,1,2,2,7,3
44054,3,2,76834,2,1,1,4,9,4,1,1,2,59,3
44054,3,2,76834,2,1,1,4,9,4,1,1,2,26,4
44054,3,2,76834,2,1,1,4,9,4,1,1,1,71,1
44054,3,2,76834,2,1,1,4,9,4,1,1,1,30,3
44054,3,2,76834,2,1,1,4,9,4,1,1,1,28,3
44238,3,2,76001,1,1,1,4,9,4,1,1,1,52,1
44924,3,1,76001,2,1,1,4,9,5,1,1,1,38,1
44946,3,2,76001,1,1,2,4,5,5,1,1,2,38,2
44946,3,2,76001,1,1,2,4,5,5,1,1,1,45,1
44946,3,2,76001,1,1,2,4,5,5,1,1,1,12,3
44946,3,2,76001,1,1,2,4,5,5,1,1,1,8,3
