"D2_01","D2_03","D2_04","D2_05","D2_05_A","D2_06","D2_07","DIRECTORIO"
5,6,0,4,408,NA,NA,405
9,6,1,4,408,1,1,406
9,5,2,5,511,1,2,407
9,2,3,5,511,1,2,408
5,1,9,3,305,1,1,410
9,3,2,4,408,1,2,411
1,3,2,5,511,1,2,412
5,5,3,4,409,1,2,414
1,2,3,4,407,1,1,415
5,2,1,6,606,1,2,416
9,6,1,3,305,1,2,417
9,2,3,5,511,1,1,418
9,3,2,6,602,1,2,419
5,6,0,5,511,1,1,420
9,5,2,6,602,1,2,421
9,5,3,5,511,1,2,422
9,2,1,5,511,1,2,423
9,2,1,6,604,1,1,424
9,5,1,7,705,1,2,425
9,1,0,5,510,1,2,426
9,2,1,6,602,1,1,427
9,5,1,3,305,1,1,429
9,1,0,5,511,1,1,430
9,6,0,5,512,1,2,431
9,5,2,6,602,1,2,432
5,3,2,6,602,1,2,433
5,3,3,6,603,1,2,434
1,3,3,4,409,1,1,435
5,2,1,5,512,1,1,436
9,6,0,4,407,NA,NA,437
5,5,1,6,606,1,2,438
5,3,2,5,511,1,2,439
9,6,0,6,601,NA,NA,440
9,5,1,6,602,1,2,441
9,5,3,5,511,1,2,442
9,3,2,7,705,1,2,443
9,3,2,7,705,1,1,444
1,5,3,8,802,1,1,445
9,5,3,8,802,1,2,446
9,1,2,5,511,1,1,448
9,3,2,6,603,1,1,449
9,6,0,8,803,1,2,450
5,2,2,5,511,1,1,451
9,5,2,5,511,1,2,452
9,2,4,4,408,1,2,453
9,3,5,4,406,1,2,454
9,3,3,4,408,1,1,456
9,5,1,5,513,1,2,457
1,3,2,5,511,1,1,458
9,1,0,5,511,1,1,460
9,6,0,4,409,NA,NA,461
9,3,1,4,408,1,2,462
9,2,6,4,406,1,2,463
9,5,3,3,305,1,2,464
9,2,3,7,705,1,2,465
9,6,1,6,603,1,2,466
9,3,4,3,305,1,2,467
9,6,0,5,510,NA,NA,468
1,6,1,6,603,1,2,469
9,2,1,5,511,1,2,470
