"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","SECUENCIA_ENCUESTA.x","SECUENCIA_P.x","ORDEN.x","RECO_DIC","K_01_A","K_01_B","K_01_C","K_01_D","K_02","K_03","K_04","K_05","K_06","K_07","K_08","K_09","K_09_VALOR","K_09_TEXTO","K_10_A","K_10_B","K_10_C","K_10_D","K_10_E","K_10_F","K_10_G","K_10_H","K_10_I","K_11","K_11_A","K_11_B","K_11_E","K_12_A","K_12_B","K_12_C","K_12_D","K_12_E","K_12_F","K_12_G","K_12_H","K_12_I","K_12_J","K_12_K","K_12_L","K_12_M","K_12_N","K_12_O","ORDEN.y"
6324,"63001",1,1,1,2,1,1,1,0,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
6623,"63130",1,1,2,3,1,1,1,0,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
6627,"63001",1,1,2,2,1,1,1,0,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
6657,"63001",1,1,2,3,1,1,1,0,NA,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
6679,"63001",1,1,3,1,1,1,1,0,1,NA,NA,NA,1,1,4,1,15,60000,5,1,2000,"DOS MIL PESOS",NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,2,2,2,1,1,2,2,2,1,2,2,1,1,1
7185,"63130",1,1,1,6,1,1,1,0,1,1,NA,NA,3,1,4,1,10,98,4,1,1000,"MIL PESOS",NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,2,2,1,2,1,1,2,2,2,1,1,2,2,1,1
7227,"63130",1,1,3,4,1,1,1,0,1,1,1,NA,3,1,5,1,99,30000,20,1,1000,"MIL PESOS",NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,2,2,2,2,2,2,2,1,2,2,1,1,1,2,1,4
7395,"63130",1,1,2,4,1,1,1,0,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
7420,"63130",1,1,4,3,1,1,1,0,NA,1,NA,NA,1,1,1,1,1,98,1,1,2000,"DOS MIL PESOS",NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7441,"63130",1,1,4,2,1,1,1,0,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8302,"63470",1,1,3,1,1,1,1,0,1,NA,NA,NA,3,1,1,2,NA,NA,1,1,2000,"DOS MIL PESOS",NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
8313,"63470",1,1,2,2,1,1,1,0,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
8546,"63470",3,1,2,4,1,1,1,0,1,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
8969,"63470",1,1,2,3,1,1,1,0,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
9022,"63001",1,1,3,3,1,1,1,0,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
9461,"63001",1,1,1,3,1,1,1,0,NA,1,NA,NA,3,1,2,1,20,10000,8,1,1000,"MIL PESOS",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2
10235,"63001",1,1,3,4,1,1,1,0,NA,1,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
10383,"63001",1,1,1,4,1,1,1,0,1,1,NA,NA,3,1,5,1,30,24000,35,1,1000,"MIL PESOS",NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1
10689,"63001",1,1,1,6,1,1,1,0,NA,1,NA,NA,3,1,4,1,8,10000,2,1,2000,"DOS MIL PESOS",NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,2
10785,"63001",2,1,1,3,1,1,1,0,NA,1,NA,NA,9,1,5,1,30,4e+05,150,1,1000,"MIL PESOS",NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,2,1,1,2,1,2,2,1,2,2,1,1,2,2,1,1
12240,"63470",1,1,2,4,1,1,1,0,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
12382,"63470",1,1,2,5,1,1,1,0,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
13231,"63470",1,1,2,4,1,1,1,0,NA,1,NA,NA,2,1,9,1,2,98,1,1,1000,"MIL PESOS",NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,3
13953,"63470",1,1,1,12,1,1,1,0,NA,1,NA,NA,3,1,5,1,30,25000,150,1,1500,"MIL QUINIENTOS PESOS",NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,1,1,1,2,1,1,1,2,2,1,1,2,2,2,8
14140,"63001",1,1,2,4,1,1,1,0,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
14440,"63470",1,1,1,2,1,1,1,0,NA,1,NA,NA,1,1,5,1,30,2e+05,100,1,2000,"DOS MIL PESOS",NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1
